screen_id,legacy_state_no,title,section,kind,subtitle,cta,secondary,route_or_overlay,event,endpoint,authority,visual_status,approved_visual_refs,offline_behavior,retry_policy,idempotency_required,implementation_status,design_status,nav
DB-AUTH-016,16,Use biometric sign in,Auth & onboarding,modal,Unlock Draught Bet faster on this device.,Enable,Not now,overlay:use-biometric-sign-in,biometric.prompt,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-AUTH-017,17,Account created,Auth & onboarding,success,Your account is ready. Verify identity before withdrawal.,Continue to home,,/auth/account-created,account.created,,CLIENT_PRESENTATION,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,
DB-MATCH-001,18,Home / Lobby,Home & matchmaking,home,"Good evening, Wisdom.",Find a match,Add money,/arena/home-lobby,lobby.ready,GET /lobby,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-11,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Home
DB-MATCH-002,19,Home loading,Home & matchmaking,loading,"Refreshing balance, live matches and notifications.",,,/arena/home-loading,lobby.loading,GET /lobby,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-11,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Home
DB-MATCH-003,20,No recent matches,Home & matchmaking,empty,Your completed and active matches will appear here.,Find a match,,/arena/no-recent-matches,lobby.empty,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Home
DB-MATCH-004,21,Open Arena,Home & matchmaking,arena,Challenge any eligible player.,Create match,Filters,/arena/open-arena,arena.loaded,GET /matches/open,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-005,22,Arena filters,Home & matchmaking,sheet,"Choose stake, time control, tier and game type.",Apply filters,Clear all,overlay:arena-filters,arena.filter,,CLIENT_PRESENTATION,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-006,23,Open match details,Home & matchmaking,match,Review the full match terms before joining.,Join match,Back,/arena/open-match-details,match.opened,GET /matches/:id,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-02 | VIS-03 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-007,24,Join match confirmation,Home & matchmaking,confirm,Confirm stake lock and server-provided payout quote.,Confirm and lock stake,Cancel,/arena/join-match-confirmation,match.join.request,POST /matches/:id/join,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-02 | VIS-03 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-008,25,Match unavailable,Home & matchmaking,system,This listing was filled or expired before you joined.,Browse Arena,Retry,/arena/match-unavailable,match.unavailable,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-02 | VIS-03 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-009,26,Quick match setup,Home & matchmaking,setup,Choose a fair matchmaking profile.,Find opponent,Cancel,/arena/quick-match-setup,matchmaking.start,POST /matchmaking,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-01 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-MATCH-010,27,Searching for opponent,Home & matchmaking,search,"Matching stake, tier, rules and availability.",Cancel search,,/arena/searching-for-opponent,matchmaking.searching,DELETE /matchmaking,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-MATCH-011,28,No opponent found,Home & matchmaking,empty,No eligible opponent matched these terms.,Try again,Change settings,/arena/no-opponent-found,matchmaking.empty,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-MATCH-012,29,Incoming challenge,Home & matchmaking,match,KingMoves challenged you to a rated match.,Accept,Decline,/arena/incoming-challenge,challenge.received,POST /challenges/:id/respond,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-013,30,Challenge sent,Home & matchmaking,search,Waiting for QueenBee to respond.,Cancel challenge,,/arena/challenge-sent,challenge.sent,DELETE /challenges/:id,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-014,31,Challenge declined,Home & matchmaking,system,The player declined or the challenge expired.,Challenge another,Back to Arena,/arena/challenge-declined,challenge.closed,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-01,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-015,32,Player search,Home & matchmaking,list,Search by exact username or player ID.,Search,,/arena/player-search,players.search,GET /players/search,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-02 | VIS-03,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-016,33,Public player profile,Home & matchmaking,profile,"Rating, form, verified status and fair-play record.",Challenge player,Back,/arena/public-player-profile,player.opened,GET /players/:id,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-06,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-017,34,Create match,Home & matchmaking,setup,"Set stake, time control, rules and visibility.",Review match,Cancel,/arena/create-match,match.create.quote,POST /matches/quote,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-018,35,Create match quote,Home & matchmaking,confirm,"Server quote: stake, pot, fee and expected payout.",Create and lock stake,Edit terms,/arena/create-match-quote,match.create,POST /matches,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-019,36,Private room code,Home & matchmaking,detail,Share this code only with the intended opponent.,Copy room code,Cancel match,/arena/private-room-code,room.created,POST /matches/:id/cancel,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-02 | VIS-11,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Arena
DB-MATCH-020,37,Match confirmation,Home & matchmaking,confirm,Both players must accept the same immutable terms.,Confirm and lock stake,Cancel,/arena/match-confirmation,match.confirm,POST /matches/:id/confirm,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-MATCH-021,38,Insufficient balance,Home & matchmaking,system,Available balance is below the required player stake.,Add money,Choose lower stake,/arena/insufficient-balance,wallet.insufficient,,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-02,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Wallet
DB-MATCH-022,39,Eligibility blocked,Home & matchmaking,system,This match exceeds your current tier or safer-play limits.,View limits,Choose another match,/arena/eligibility-blocked,eligibility.blocked,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-02,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Profile
DB-MATCH-023,40,Locking stake,Home & matchmaking,loading,Reserving funds atomically. Do not close the app.,,,/arena/locking-stake,stake.locking,POST /matches/:id/lock,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-02 | VIS-03,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,LOOK_UP_EXISTING_OPERATION_BY_IDEMPOTENCY_KEY_BEFORE_RETRY,True,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-MATCH-024,41,Waiting for opponent stake,Home & matchmaking,match,Your stake is locked; the opponent has not locked theirs.,Cancel if eligible,,/arena/waiting-for-opponent-stake,stake.waiting,GET /matches/:id,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-02,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,SAFE_READ_RETRY_WITH_BACKOFF,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-MATCH-025,42,Ready check,Home & matchmaking,match,Confirm you are present before the match starts.,I am ready,Leave match,/arena/ready-check,ready.check,POST /matches/:id/ready,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-02 | VIS-03,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-MATCH-026,43,Waiting for opponent ready,Home & matchmaking,search,You are ready. Waiting for KingMoves.,,,/arena/waiting-for-opponent-ready,ready.waiting,GET /matches/:id,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-02,READ_ONLY_OR_CACHED_WHERE_SAFE,SAFE_READ_RETRY_WITH_BACKOFF,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-MATCH-027,44,Ready timeout,Home & matchmaking,system,The match was cancelled and locked funds are being released.,Return home,View wallet,/arena/ready-timeout,ready.timeout,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-02 | VIS-03,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Home
DB-MATCH-028,45,Opponent disconnected,Home & matchmaking,system,Waiting for the opponent to reconnect before start.,Keep waiting,Cancel when eligible,/arena/opponent-disconnected,prematch.disconnect,,CLIENT_PRESENTATION,DIRECT_APPROVED_VISUAL,VIS-04,READ_ONLY_OR_CACHED_WHERE_SAFE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-MATCH-029,46,Match found,Home & matchmaking,match,Eligible opponent found. Review and accept the quote.,Accept match,Decline,/arena/match-found,matchmaking.found,POST /matches/:id/accept,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-001,47,Match room,Live gameplay,match,Both stakes are locked. Match starts after ready countdown.,I am ready,Match rules,/play/match/:matchId/match-room,match.room,GET /matches/:id,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,SAFE_READ_RETRY_WITH_BACKOFF,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-002,48,Live match,Live gameplay,game,Your turn. Server validates every move.,,,/play/match/:matchId/live-match,game.turn.self,SOCKET match:state,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-003,49,Move selection,Live gameplay,game,"Select a highlighted piece, then a legal destination.",,,/play/match/:matchId/move-selection,game.select,,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-004,50,Mandatory capture,Live gameplay,game,A capture is available and must be played.,,,/play/match/:matchId/mandatory-capture,game.capture.required,,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00 | VIS-06 | VIS-07,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-005,51,Multi-capture,Live gameplay,game,Continue the capture sequence with the same piece.,,,/play/match/:matchId/multi-capture,game.capture.chain,,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00 | VIS-06 | VIS-07,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-006,52,King promotion,Live gameplay,game,Your piece reached the crown row and is now a king.,Continue,,/play/match/:matchId/king-promotion,game.king.promoted,,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-007,53,Opponent thinking,Live gameplay,game,KingMoves is choosing a move.,,,/play/match/:matchId/opponent-thinking,game.turn.opponent,,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-008,54,Illegal move,Live gameplay,game,That move is not legal in the current server state.,Dismiss,,/play/match/:matchId/illegal-move,game.move.rejected,,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-06,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-009,55,Draw offer received,Live gameplay,modal,KingMoves offered a draw. The clock continues.,Accept draw,Decline,overlay:draw-offer-received,draw.received,SOCKET draw:respond,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-06,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-010,56,Offer a draw,Live gameplay,modal,The opponent may accept or decline while clocks continue.,Send offer,Cancel,overlay:offer-a-draw,draw.offer,SOCKET draw:offer,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00 | VIS-06 | VIS-07,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-011,57,Draw rejected,Live gameplay,toast,The opponent declined your draw offer.,,,overlay:draw-rejected,draw.rejected,,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00 | VIS-06 | VIS-07,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-012,58,Resign match,Live gameplay,modal,Resigning ends the match and awards the result to your opponent.,Resign,Keep playing,overlay:resign-match,game.resign,SOCKET match:resign,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-07 | VIS-12,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-013,59,Connection lost,Live gameplay,game,Moves are disabled until a secure connection is restored.,,,/play/match/:matchId/connection-lost,socket.offline,,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-06,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-014,60,Reconnecting,Live gameplay,game,Reconnecting to the match server.,,,/play/match/:matchId/reconnecting,socket.reconnecting,,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00 | VIS-06 | VIS-07,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-015,61,State resync,Live gameplay,loading,"Verifying board, clocks, turn and move version.",,,/play/match/:matchId/state-resync,game.resync,SOCKET match:resync,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-06,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-016,62,App resumed,Live gameplay,game,Checking authoritative match state after backgrounding.,,,/play/match/:matchId/app-resumed,app.resume.resync,,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00 | VIS-06 | VIS-07,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-017,63,Low time warning,Live gameplay,game,Less than 30 seconds remain on your clock.,,,/play/match/:matchId/low-time-warning,clock.low,,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00 | VIS-06 | VIS-07,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-018,64,Timeout imminent,Live gameplay,game,Submit a legal move before your server clock expires.,,,/play/match/:matchId/timeout-imminent,clock.critical,,SERVER_AUTHORITATIVE,DERIVED_FROM_APPROVED_COMPONENT_PATTERN,VIS-00 | VIS-06 | VIS-07,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-019,65,Match chat,Live gameplay,chat,Use preset fair-play messages and reactions.,Send,Close,/play/match/:matchId/match-chat,chat.open,,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
DB-GAME-020,66,Match menu,Live gameplay,sheet,"Rules, connection status, draw, resign and support.",Close,,overlay:match-menu,match.menu,,SERVER_AUTHORITATIVE,DIRECT_APPROVED_VISUAL,VIS-00 | VIS-12,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,False,NOT_STARTED,APPROVED_VISUAL_LANGUAGE,Play
