screen_id,title,rest_or_socket,event,authority,idempotency,offline,retry,minimum_ui_states
DB-AUTH-006,Sign in,POST /auth/login,auth.login,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-MATCH-029,Match found,POST /matches/:id/accept,matchmaking.found,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,READ_ONLY_OR_CACHED_WHERE_SAFE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-001,Match room,GET /matches/:id,match.room,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-002,Live match,SOCKET match:state,game.turn.self,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-003,Move selection,-,game.select,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-004,Mandatory capture,-,game.capture.required,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-005,Multi-capture,-,game.capture.chain,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-006,King promotion,-,game.king.promoted,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-007,Opponent thinking,-,game.turn.opponent,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-008,Illegal move,-,game.move.rejected,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-009,Draw offer received,SOCKET draw:respond,draw.received,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-010,Offer a draw,SOCKET draw:offer,draw.offer,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-011,Draw rejected,-,draw.rejected,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-012,Resign match,SOCKET match:resign,game.resign,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-013,Connection lost,-,socket.offline,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-014,Reconnecting,-,socket.reconnecting,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-015,State resync,SOCKET match:resync,game.resync,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,NO_BLIND_RETRY; RESYNC_AUTHORITATIVE_STATE,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-016,App resumed,-,app.resume.resync,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-017,Low time warning,-,clock.low,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-018,Timeout imminent,-,clock.critical,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-019,Match chat,-,chat.open,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-GAME-020,Match menu,-,match.menu,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-001,Victory,-,result.win,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-002,Defeat,-,result.loss,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-003,Draw result,-,result.draw,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-004,Timeout result,-,result.timeout,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-005,Resignation result,-,result.resign,SERVER_AUTHORITATIVE,REQUIRED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,LOOK_UP_EXISTING_OPERATION_BY_IDEMPOTENCY_KEY_BEFORE_RETRY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-006,Disconnect forfeit,-,result.disconnect,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-007,System-cancelled match,-,result.cancelled,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-008,Settlement processing,GET /settlements/:id,settlement.processing,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-009,Settlement complete,-,settlement.complete,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-010,Settlement delayed,-,settlement.delayed,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-011,Match receipt,GET /matches/:id/receipt,receipt.open,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-RESULT-012,Share result,-,result.share,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-001,Wallet,GET /wallet,wallet.loaded,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-002,Add money,POST /deposits/quote,deposit.quote,SERVER_AUTHORITATIVE,REQUIRED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,LOOK_UP_EXISTING_OPERATION_BY_IDEMPOTENCY_KEY_BEFORE_RETRY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-003,Payment method,-,deposit.provider,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-004,Hosted checkout,-,deposit.checkout,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-005,Deposit processing,GET /deposits/:id,deposit.processing,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-006,Deposit successful,-,deposit.success,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-007,Deposit failed,-,deposit.failed,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-008,Deposit pending,-,deposit.pending,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-009,Transaction history,GET /wallet/transactions,transactions.loaded,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,SAFE_READ_RETRY_WITH_BACKOFF,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-010,Transaction filters,-,transactions.filter,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-011,Deposit details,-,transaction.deposit,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-012,Stake details,-,transaction.stake,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-013,Payout details,-,transaction.payout,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-014,Locked funds,-,wallet.locked,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WALLET-015,Wallet unavailable,-,wallet.error,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WITHDRAW-001,Withdraw money,POST /withdrawals/quote,withdrawal.quote,SERVER_AUTHORITATIVE,REQUIRED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,LOOK_UP_EXISTING_OPERATION_BY_IDEMPOTENCY_KEY_BEFORE_RETRY,loading | success | safe failure | timeout/unknown where applicable
DB-WITHDRAW-002,Select bank account,-,bank.select,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WITHDRAW-003,Add bank account,POST /bank-accounts/verify,bank.verify,SERVER_AUTHORITATIVE,REQUIRED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,LOOK_UP_EXISTING_OPERATION_BY_IDEMPOTENCY_KEY_BEFORE_RETRY,loading | success | safe failure | timeout/unknown where applicable
DB-WITHDRAW-004,Verifying bank account,-,bank.verifying,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
DB-WITHDRAW-005,Withdrawal review,POST /withdrawals,withdrawal.create,SERVER_AUTHORITATIVE,REQUIRED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,LOOK_UP_EXISTING_OPERATION_BY_IDEMPOTENCY_KEY_BEFORE_RETRY,loading | success | safe failure | timeout/unknown where applicable
DB-WITHDRAW-006,Verification required,-,withdrawal.kyc_required,SERVER_AUTHORITATIVE,NOT_APPLICABLE_OR_CONTRACT_DEFINED,BLOCK_ACTION_AND_SHOW_LAST_VERIFIED_STATE,PRESENTATION_ONLY,loading | success | safe failure | timeout/unknown where applicable
